business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr P B Mandal,ENT Clinic,Doctor,Doctor,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89674 46491,N/A,4.1,76.0,"39, East Ave, Keranitola, Midnapore, West Bengal 721101",Keranitola,22.4205738,87.3141821,ChIJZ-n6oEVbHToRVmFwzK94KpM,https://www.google.com/maps/place/?q=place_id:ChIJZ-n6oEVbHToRVmFwzK94KpM,part_322,2026-09-20 20:17:26
Dr Sudipta Pal's ENT Clinic,ENT Clinic,ENT Specialist,ENT Specialist,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 96743 89776,N/A,4.8,192.0,"Besides Arka Pharma, Jyoti Vihar Apartments, 47,J C Khan Road, 712139, near Simran Restaurant & Mrityunjoy Sweets, Mankundu, Chandannagar, West Bengal 712139","Uttarpara, Mahadanga Colony, Mankundu",22.8474869,88.3495473,ChIJydP1tlCQ-DkR7oBnpHW-lJw,https://www.google.com/maps/place/?q=place_id:ChIJydP1tlCQ-DkR7oBnpHW-lJw,part_322,2026-09-20 20:17:26
ENT Doctor - Dr Soumik Saha (ENT Specialist in Tamluk),ENT Clinic,ENT Specialist,"ENT Specialist, Otolaryngology clinic",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 90466 43317,http://drsoumiksaha-ent.com/,4.3,41.0,"Village - Salgachia P.O & PS, near The Indian Medical Shop & Diagnostic Center, Tamluk, West Bengal 721636",721201,22.280750599999998,87.9213532,ChIJsek9PGyVAjoRcIjuPCxfyFI,https://www.google.com/maps/place/?q=place_id:ChIJsek9PGyVAjoRcIjuPCxfyFI,part_322,2026-09-20 20:17:26
Dr.Jagadish Kundu (ENT & NECK SURGEON),ENT Clinic,Doctor,Doctor,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 94331 55511,N/A,4.6,57.0,"Kalitala Rd, Last French Colony, Fatakgora, Chandannagar, West Bengal 712136","Last French Colony, Fatakgora",22.867432299999997,88.3563961,ChIJXRNSmJyR-DkRJxLQU919FKA,https://www.google.com/maps/place/?q=place_id:ChIJXRNSmJyR-DkRJxLQU919FKA,part_322,2026-09-20 20:17:26
Dr.Sourav Naskar,ENT Clinic,ENT Specialist,ENT Specialist,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,5.0,3.0,"Rabindranagar Disha polyclinic, opposite rabindranagar, Rabindra Nagar, durgamandir, Midnapore, West Bengal 721101","Rabindra Nagar, durgamandir",22.422688299999997,87.31963329999999,ChIJ87ZlGGVbHToRlCdbmamSZtY,https://www.google.com/maps/place/?q=place_id:ChIJ87ZlGGVbHToRlCdbmamSZtY,part_322,2026-09-20 20:17:26
Dr Rajkumar Chaturvedi,ENT Clinic,Doctor,Doctor,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98313 62107,N/A,4.6,165.0,"Rabindra Sarani Rd, Morepukur, Kali Tala, Bangur Park, Rishra, West Bengal 712248","Morepukur, Kali Tala, Bangur Park, Rishra",22.7247065,88.3449618,ChIJYcvHwmub-DkRnsR4KXNGeIg,https://www.google.com/maps/place/?q=place_id:ChIJYcvHwmub-DkRnsR4KXNGeIg,part_322,2026-09-20 20:17:27
Dr. Soutrik Kumar,ENT Clinic,ENT Specialist,ENT Specialist,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98363 46135,http://drsoutrikkumar.com/,4.9,330.0,"16A, 1, Earle St, Garcha, Kalighat, Kolkata, West Bengal 700029","Garcha, Kalighat",22.5250691,88.3538714,ChIJs-sqKPJ3AjoRswbTebr4HqY,https://www.google.com/maps/place/?q=place_id:ChIJs-sqKPJ3AjoRswbTebr4HqY,part_322,2026-09-20 20:17:27
GHOSH ENT FOUNDATION,ENT Clinic,Otolaryngology clinic,"Otolaryngology clinic, Doctor, Health consultant, Health counselor, Hospital, Medical clinic, ENT Specialist, Wellness center",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98743 37646,https://www.ghoshentfoundation.com/,4.7,4652.0,"FD 16, FD Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","FD Block, Sector 3, Bidhannagar",22.5827813,88.4095956,ChIJBQrIP2d1AjoRzwqJXXl8wpA,https://www.google.com/maps/place/?q=place_id:ChIJBQrIP2d1AjoRzwqJXXl8wpA,part_322,2026-09-20 20:17:27
Dr. Saha's ENT Clinic,ENT Clinic,Medical clinic,Medical clinic,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89025 22589,N/A,4.5,17.0,"Madhyamgram Municipality Ward 21, Madhyamgram Municipality ward 20, Madhyamgram, Kolkata, West Bengal 700129","Madhyamgram Municipality Ward 21, Madhyamgram Municipality ward 20, Madhyamgram",22.6936769,88.45829379999999,ChIJw2G6Uguf-DkRC2WDGrtLy6w,https://www.google.com/maps/place/?q=place_id:ChIJw2G6Uguf-DkRC2WDGrtLy6w,part_322,2026-09-20 20:17:27
ENT by Dr. Mainak Saha,ENT Clinic,ENT Specialist,"ENT Specialist, Consultant, Doctor",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 79804 09290,https://sites.google.com/view/entbydr-mainaksaha/home,5.0,31.0,"Noapara, Old Kalibari Rd, Barasat, Kolkata, West Bengal 700124",Barasat,22.7303273,88.4820762,ChIJyXiDhhuj-DkRCiao_xBak3A,https://www.google.com/maps/place/?q=place_id:ChIJyXiDhhuj-DkRCiao_xBak3A,part_322,2026-09-20 20:17:27
Prof(Dr.) Indranath Kundu,ENT Clinic,ENT Specialist,ENT Specialist,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98360 18897,https://entkolkata.in/,4.0,360.0,"P-51/1, CIT Rd, Kankurgachi, Kolkata, West Bengal 700054",Kankurgachi,22.5817956,88.3902504,ChIJN_WWdW52AjoRGVR8neNf-Q8,https://www.google.com/maps/place/?q=place_id:ChIJN_WWdW52AjoRGVR8neNf-Q8,part_322,2026-09-20 20:17:27
Dr D N Chatterjee,ENT Clinic,Doctor,Doctor,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 89020 29330,N/A,4.4,59.0,"V999+252, Bidyalanka, Chandannagar, West Bengal 712136",Sarishapara,22.8675079,88.3678808,ChIJqf7drg6R-DkRjLkREDFtYiM,https://www.google.com/maps/place/?q=place_id:ChIJqf7drg6R-DkRjLkREDFtYiM,part_322,2026-09-20 20:17:27
Swastik Ent and skin clinic,ENT Clinic,ENT Specialist,"ENT Specialist, Allergist, Cosmetic surgeon, Dental clinic, Dermatologist, Ear piercing service, Hair transplantation clinic, Hearing aid store, Pediatric dermatologist, Skin care clinic",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 86975 09910,https://kivihealth.com/iam/dr..poonam.jalan.57924j946tnx,4.8,2060.0,"128, Sarat Bose Rd, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029","Dover Terrace, Ballygunge",22.5224785,88.3521832,ChIJ6y15Vpt3AjoRfxNfml_ww28,https://www.google.com/maps/place/?q=place_id:ChIJ6y15Vpt3AjoRfxNfml_ww28,part_322,2026-09-20 20:17:27
