business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
বিশ্বজিৎ পান (Dr. Biswajit Pan),Dental Clinic,Dentist,Dentist,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",+91 79 4710 6187,N/A,3.2,11.0,"VGWQ+QJG, Buran, Egra, West Bengal 721429",Buran,21.8969597,87.53909639999999,ChIJXXr094UrHToRGdTnYm9czUU,https://www.google.com/maps/place/?q=place_id:ChIJXXr094UrHToRGdTnYm9czUU,part_322,2026-09-20 20:40:05
"Manaa Dental clinic, Near - purano Muri hat, Egra",Dental Clinic,Medical clinic,Medical clinic,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",N/A,N/A,,,"WG2P+3Q2, Purushottampur, Egra, West Bengal 721429",Purushottampur,21.900132199999998,87.53689849999999,ChIJjVmwOwArHToRqUgrHd8KElM,https://www.google.com/maps/place/?q=place_id:ChIJjVmwOwArHToRqUgrHd8KElM,part_322,2026-09-20 20:40:05
G.K DENTAL HOSPITAL,Dental Clinic,Dental clinic,Dental clinic,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",N/A,N/A,2.3,3.0,"near SDO Office, Aklabad, Egra, West Bengal 721429",Aklabad,21.911330799999998,87.5364884,ChIJRXQkWBsrHToR2ABiZrSLA9I,https://www.google.com/maps/place/?q=place_id:ChIJRXQkWBsrHToR2ABiZrSLA9I,part_322,2026-09-20 20:40:05
Dr Sayantani Shee,Dental Clinic,Dentist,Dentist,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",+91 85380 83717,N/A,5.0,7.0,"post office, opposite of Egra, Purushottampur, Egra, West Bengal 721429",Purushottampur,21.900132199999998,87.53689849999999,ChIJ6f4Q7R8rHToRussneW4PbQ0,https://www.google.com/maps/place/?q=place_id:ChIJ6f4Q7R8rHToRussneW4PbQ0,part_322,2026-09-20 20:40:05
Dr.S.A.RAKIB,Dental Clinic,Dentist,Dentist,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",N/A,N/A,5.0,7.0,"Ward No 1, Kasaba, Egra, West Bengal 721429","Ward No 1, Kasaba",21.900132199999998,87.53689849999999,ChIJ6RAb2nUrHToR96bBbdhsfrc,https://www.google.com/maps/place/?q=place_id:ChIJ6RAb2nUrHToR96bBbdhsfrc,part_322,2026-09-20 20:40:05
Happy Smile Dental Clinic. Dr.S.A.RAKIB.; Dentist,Dental Clinic,Dental clinic,Dental clinic,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",N/A,N/A,,,"kasba egra. ward no.1. Near Dr P.mishra's chamber, Kasba, Kolkata, West Bengal 721429",Kasba,21.8970244,87.53911719999999,ChIJU1pO2MArHToRd_nk6dM0kuY,https://www.google.com/maps/place/?q=place_id:ChIJU1pO2MArHToRd_nk6dM0kuY,part_322,2026-09-20 20:40:05
ডেন্টাল ক্লিনিক,Dental Clinic,Dental clinic,Dental clinic,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",+91 97343 24848,N/A,1.0,1.0,"VGXQ+2R7, SH 5, Adlabad, Egra, West Bengal 721429",Adlabad,21.897531,87.5395516,ChIJ9wJIrdLUAjoREt9dME0pz6k,https://www.google.com/maps/place/?q=place_id:ChIJ9wJIrdLUAjoREt9dME0pz6k,part_322,2026-09-20 20:40:05
Maity Grocery,Dental Clinic,Dental clinic,Dental clinic,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",N/A,N/A,,,"WG3H+VXM, Purushottampur, Egra, West Bengal 721429",Purushottampur,21.9047694,87.5298756,ChIJOcmtbAArHToRXqEHCxh4Xvg,https://www.google.com/maps/place/?q=place_id:ChIJOcmtbAArHToRXqEHCxh4Xvg,part_322,2026-09-20 20:40:05
The Avenue Dental & Orthodontic Centre,Dental Clinic,Dental clinic,"Dental clinic, Dental hygienist, Dental implants periodontist, Dental implants provider, Dental laboratory, Dental radiology, Doctor, Endodontist, Orthodontist, Prosthodontist",721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",+91 82932 58601,https://the-avenue-dental-orthodontic-centre.smartdentaldesk.com/,5.0,,"near IOC petrol pump, Sonartori, Patashpur, West Bengal 721439",Sonartori,22.013419799999998,87.5424984,ChIJmcfWBkctHToRe1l9rU1WrAQ,https://www.google.com/maps/place/?q=place_id:ChIJmcfWBkctHToRe1l9rU1WrAQ,part_322,2026-09-20 20:40:06
The Dental Clinic,Dental Clinic,Doctor,Doctor,721429,West Bengal Circle,South Bengal Region,Contai Division,"Egra SO, Baranihary BO, Barida Bazar BO",N/A,N/A,,,"Kharat Katbar, West Bengal 721438",721429,21.968906099999998,87.5316308,ChIJb-0_0M8sHToReJDt72YDM0E,https://www.google.com/maps/place/?q=place_id:ChIJb-0_0M8sHToReJDt72YDM0E,part_322,2026-09-20 20:40:06
