business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
সুনীতি হোমিও ক্লিনিক,Doctors,Doctor,Doctor,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,4.7,,"8QM7+F6G, Patiram Girl's Primary Gali, Patiram, West Bengal 733133",733133,25.3337,88.7630859,ChIJi-ebEQBf-zkRYw0bmM7aNF0,https://www.google.com/maps/place/?q=place_id:ChIJi-ebEQBf-zkRYw0bmM7aNF0,part_327,2026-09-20 20:36:58
Dr. Jishan Ali,Doctors,Doctor,Doctor,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",+91 97328 56626,N/A,5.0,,"Patiram, Balurghat, Patiram, West Bengal 733133",Patiram,25.328861,88.76425929999999,ChIJQZMOE1Vf-zkRJ80MN14JfP4,https://www.google.com/maps/place/?q=place_id:ChIJQZMOE1Vf-zkRJ80MN14JfP4,part_327,2026-09-20 20:36:58
NEW SHEKH MEDICA AND ONLINE POINT,Doctors,Doctor,Doctor,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,5.0,,"8RF2+5CP, Patiram Hili Hwy, Malakarpara, West Bengal 733133",733133,25.322884,88.80114379999999,ChIJwZbAOwCh_DkRKBOYgtIyWsk,https://www.google.com/maps/place/?q=place_id:ChIJwZbAOwCh_DkRKBOYgtIyWsk,part_327,2026-09-20 20:36:58
Kali,Doctors,Doctor,Doctor,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"8QM6+XH3, Patiram, West Bengal 733133",733133,25.3348792,88.7614248,ChIJy-upFQBf-zkRd7MNUBoIN98,https://www.google.com/maps/place/?q=place_id:ChIJy-upFQBf-zkRd7MNUBoIN98,part_327,2026-09-20 20:36:58
Nazirpur Hospital,Doctors,Hospital,Hospital,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,3.6,,"8Q8X+2JC, Nazirpur, West Bengal 733133",733133,25.315050199999998,88.7990087,ChIJx4fQZWWg_DkRk6OExNXPpZ4,https://www.google.com/maps/place/?q=place_id:ChIJx4fQZWWg_DkRk6OExNXPpZ4,part_327,2026-09-20 20:36:58
Dipankar 🏡,Doctors,Family practice physician,Family practice physician,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"9QPR+JV, Jhikakuri, West Bengal 733133",733133,25.386498,88.79220989999999,ChIJkZuWPQCn_DkRcLY0sFkLuwo,https://www.google.com/maps/place/?q=place_id:ChIJkZuWPQCn_DkRcLY0sFkLuwo,part_327,2026-09-20 20:36:58
GS house,Doctors,Family practice physician,Family practice physician,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,5.0,,"8Q66+JXV, Majhian, Chak Manipur, West Bengal 733133",733133,25.3122418,88.76140339999999,ChIJwb0Ai9Vf-zkRJPwhdSSc4uU,https://www.google.com/maps/place/?q=place_id:ChIJwb0Ai9Vf-zkRJPwhdSSc4uU,part_327,2026-09-20 20:36:58
Sandip Hansda Home,Doctors,Family practice physician,Family practice physician,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"9PCW+4X, Beltara, West Bengal 733133",733133,25.370255,88.747457,ChIJGxmGDABf-zkRwVcZsx_sMf8,https://www.google.com/maps/place/?q=place_id:ChIJGxmGDABf-zkRwVcZsx_sMf8,part_327,2026-09-20 20:36:58
Dr Sham dudu chember,Doctors,Doctor,Doctor,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"CQ44+H68, Mohipur, West Bengal 733141",733133,25.4064154,88.75558679999999,ChIJUS82E-FZ-zkRm1S9xLehc0U,https://www.google.com/maps/place/?q=place_id:ChIJUS82E-FZ-zkRm1S9xLehc0U,part_327,2026-09-20 20:36:58
Dr Asif Ahmed,Doctors,Dental clinic,Dental clinic,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,4.0,,"CQ44+8F3, Khorda Mohana, West Bengal 733141",733133,25.405288799999997,88.7561209,ChIJxQzotPRZ-zkR4EmeZK-VBXQ,https://www.google.com/maps/place/?q=place_id:ChIJxQzotPRZ-zkR4EmeZK-VBXQ,part_327,2026-09-20 20:36:58
Zia Heart Foundation Hospital & Research Institute,Doctors,Heart hospital,"Heart hospital, Hospital",733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",01706-304222,http://www.zhfbd.org.bd/,4.2,,"7 Newtown - Diabetic More Rd, Dinajpur 5200, Bangladesh",733133,25.6198323,88.64625989999999,ChIJe3PMN45S-zkRAZxm7dQkcb4,https://www.google.com/maps/place/?q=place_id:ChIJe3PMN45S-zkRAZxm7dQkcb4,part_327,2026-09-20 20:36:58
শান্তি ভবন,Doctors,Family practice physician,Family practice physician,733133,West Bengal Circle,North Bengal Region,Dinajpur Division,"Patiram SO, Batun BO, Beltara BO",N/A,N/A,,,"9QVQ+4JW, Mominpur, West Bengal 733133",733133,25.392869299999997,88.7890694,ChIJiQ2_YACn_DkRASp_pdo7IRw,https://www.google.com/maps/place/?q=place_id:ChIJiQ2_YACn_DkRASp_pdo7IRw,part_327,2026-09-20 20:36:59
