business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bhai Bhai Saw Mill,Businesses,Manufacturer,"Manufacturer, Industrial consultant",736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",+91 98004 85586,N/A,5.0,3.0,"Akrahat Road Akrahat Road, West Bengal 736172",736172,26.195198299999998,89.2482187,ChIJbc_ZBz7x4jkRq5eHgvhLCT0,https://www.google.com/maps/place/?q=place_id:ChIJbc_ZBz7x4jkRq5eHgvhLCT0,part_330,2026-09-20 20:34:05
Sahanur miah,Businesses,Apartment complex,Apartment complex,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,5.0,1.0,"Atia bari nepra, West Bengal 736172",736172,26.204971099999998,89.2657266,ChIJW-EuHoUb4zkRKhctgQ0kyI4,https://www.google.com/maps/place/?q=place_id:ChIJW-EuHoUb4zkRKhctgQ0kyI4,part_330,2026-09-20 20:34:05
Ponno Bitan,Businesses,Wholesaler,Wholesaler,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",+91 76793 35511,https://g.page/r/Calw8Al7DO7NECI/review,5.0,2.0,"Khengchi, Shitai Road, Bara Dhaperchatra, Mathabhanga, West Bengal 736172",736172,26.2166215,89.2411116,ChIJ-SamSLYR4zkRqXDwCXsM7s0,https://www.google.com/maps/place/?q=place_id:ChIJ-SamSLYR4zkRqXDwCXsM7s0,part_330,2026-09-20 20:34:05
Rana Home,Businesses,Housing complex,Housing complex,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,4.0,2.0,"57P8+PJ, Chhota Gadaikhora, West Bengal 736172",736172,26.1868204,89.2665932,ChIJHZGOrBQb4zkRQlHv4ZIE2FQ,https://www.google.com/maps/place/?q=place_id:ChIJHZGOrBQb4zkRQlHv4ZIE2FQ,part_330,2026-09-20 20:34:05
Ferdous Agro Enterprise,Businesses,Wholesaler,Wholesaler,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,,,"2, Kurshamari Road, Kurshamari Dwitia Khanda, West Bengal 736172",736172,26.199258999999998,89.2519678,ChIJY07vXQAb4zkRNE09ptLJy3I,https://www.google.com/maps/place/?q=place_id:ChIJY07vXQAb4zkRNE09ptLJy3I,part_330,2026-09-20 20:34:05
Sayan b,Businesses,Housing society,Housing society,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,,,"666W+JR2, Nagar Sobhaganj, West Bengal 736172",736172,26.211526,89.24711119999999,ChIJ7WCoHgAb4zkRzU3xfjy19PM,https://www.google.com/maps/place/?q=place_id:ChIJ7WCoHgAb4zkRzU3xfjy19PM,part_330,2026-09-20 20:34:05
Tapas,Businesses,Housing society,Housing society,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,,,"673F+R7, Bhair Thana, West Bengal 736172",736172,26.2045273,89.2735052,ChIJFd3SNAAb4zkRLzKnXhfjYc4,https://www.google.com/maps/place/?q=place_id:ChIJFd3SNAAb4zkRLzKnXhfjYc4,part_330,2026-09-20 20:34:05
Murshid House,Businesses,Housing complex,Housing complex,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,,,"57HF+RW, Chhota Gadaikhora, West Bengal 736172",736172,26.1796179,89.2747734,ChIJRcwXVwAb4zkR7ADjyMiuhGg,https://www.google.com/maps/place/?q=place_id:ChIJRcwXVwAb4zkR7ADjyMiuhGg,part_330,2026-09-20 20:34:05
D barman house,Businesses,Housing complex,Housing complex,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,5.0,1.0,"679G+C9, Bhair Thana, West Bengal 736172",736172,26.218569499999997,89.2759689,ChIJgYe16YQb4zkRTrjth-6iTP4,https://www.google.com/maps/place/?q=place_id:ChIJgYe16YQb4zkRTrjth-6iTP4,part_330,2026-09-20 20:34:05
RSK house,Businesses,Housing complex,Housing complex,736172,West bengal circle,North Bengal Region,Cooch Behar Division,"Mahishmuri BO, Shibpur BO, Gossairhat Bandar SO",N/A,N/A,5.0,1.0,"57H6+X7, Chhota Gadaikhora, West Bengal 736172",736172,26.1799316,89.260655,ChIJeRc3fwAb4zkRoZ8si7pwYmg,https://www.google.com/maps/place/?q=place_id:ChIJeRc3fwAb4zkRoZ8si7pwYmg,part_330,2026-09-20 20:34:05
